Trait1	Trait2	Common_eGenes	eGene_Ratio	eGene_List
3-hydroxypropylmercapturic_acid_measurement__smoking_cessation	Parkinson's_disease	1	1.0	['MARCH3']
A1C_measurement	Hemoglobin_E_disease	1	0.034482758620689655	['HBS1L']
A1C_measurement	Hodgkins_lymphoma	2	0.06896551724137931	['HBS1L', 'CTA-212D2.2']
A1C_measurement	Parkinson's_disease	1	0.034482758620689655	['G6PC2']
A1C_measurement	Testicular_Germ_Cell_Tumor	5	0.1724137931034483	['SMG5', 'SEMA4A', 'PAQR6', 'C1orf85', 'TMEM79']
A1C_measurement	alkaline_phosphatase_measurement	1	0.034482758620689655	['ALDH5A1']
A1C_measurement	alkaline_phosphatase_measurement__liver_enzyme_measurement	1	0.034482758620689655	['ALDH5A1']
A1C_measurement	alkaline_phosphatase_measurement__uric_acid_measurement	1	0.034482758620689655	['ALDH5A1']
A1C_measurement	bipolar_disorder	1	0.034482758620689655	['MYO10']
A1C_measurement	blood_metabolite_measurement	1	0.034482758620689655	['FN3K']
A1C_measurement	cis-trans-18:2_fatty_acid_measurement__trans_fatty_acid_measurement	1	0.034482758620689655	['ALDH5A1']
A1C_measurement	eosinophil_count	1	0.034482758620689655	['HBS1L']
A1C_measurement	hemoglobin_measurement__hemoglobin_A2_measurement	2	0.06896551724137931	['CTA-212D2.2', 'HBS1L']
A1C_measurement	high_density_lipoprotein_cholesterol_measurement	2	0.06896551724137931	['TBCD', 'HBS1L']
A1C_measurement	homocysteine_measurement	1	0.034482758620689655	['FN3K']
A1C_measurement	inflammatory_bowel_disease	1	0.034482758620689655	['CPVL']
A1C_measurement	leukocyte_count	2	0.06896551724137931	['HBS1L', 'CTA-212D2.2']
A1C_measurement	magnesium_measurement	1	0.034482758620689655	['TBCD']
A1C_measurement	mean_corpuscular_hemoglobin_concentration	1	0.034482758620689655	['HBS1L']
A1C_measurement	memory_performance	1	0.034482758620689655	['TBCD']
A1C_measurement	mitochondrial_DNA_measurement	1	0.034482758620689655	['NOSTRIN']
A1C_measurement	multiple_sclerosis	2	0.06896551724137931	['CTA-212D2.2', 'RAD51B']
A1C_measurement	myeloproliferative_disorder	1	0.034482758620689655	['HBS1L']
A1C_measurement	nitric_oxide_exhalation_measurement	1	0.034482758620689655	['ANK1']
A1C_measurement	response_to_anticoagulant	1	0.034482758620689655	['CPVL']
A1C_measurement	serum_IgG_glycosylation_measurement	1	0.034482758620689655	['MCPH1']
A1C_measurement	testicular_carcinoma	4	0.13793103448275862	['SMG5', 'SEMA4A', 'C1orf85', 'TMEM79']
ADAMTS13_activity_measurement	alkaline_phosphatase_measurement__liver_enzyme_measurement	1	0.14285714285714285	['CACFD1']
ADAMTS13_activity_measurement	attention_deficit_hyperactivity_disorder	1	0.14285714285714285	['SUPT3H']
ADAMTS13_activity_measurement	body_height	1	0.14285714285714285	['SUPT3H']
ADAMTS13_activity_measurement	bone_density	1	0.14285714285714285	['SUPT3H']
ADAMTS13_activity_measurement	diabetic_retinopathy	1	0.14285714285714285	['ZNF536']
ADAMTS13_activity_measurement	iron_biomarker_measurement	1	0.14285714285714285	['ADAMTS13']
ADAMTS13_activity_measurement	mean_corpuscular_hemoglobin	1	0.14285714285714285	['ADAMTS13']
ADAMTS13_activity_measurement	mean_corpuscular_hemoglobin_concentration	1	0.14285714285714285	['ADAMTS13']
ADAMTS13_activity_measurement	mean_corpuscular_volume	1	0.14285714285714285	['ADAMTS13']
ADAMTS13_activity_measurement	osteoarthritis	1	0.14285714285714285	['SUPT3H']
ADAMTS13_activity_measurement	serum_iron_measurement	1	0.14285714285714285	['ADAMTS13']
ADAMTS13_activity_measurement	wet_macular_degeneration	1	0.14285714285714285	['SUPT3H']
AIDS	CCL2_measurement	1	0.06666666666666667	['CCR1']
AIDS	HIV-1_infection	1	0.06666666666666667	['NBPF13P']
AIDS	PR_interval__Trypanosoma_cruzi_seropositivity	1	0.06666666666666667	['CHD1L']
AIDS	bipolar_disorder	1	0.06666666666666667	['KDM4C']
AIDS	celiac_disease	1	0.06666666666666667	['CCR1']
AIDS	esophageal_squamous_cell_carcinoma	1	0.06666666666666667	['AC108004.2']
AIDS	fasting_blood_glucose_measurement	1	0.06666666666666667	['KDM4C']
AIDS	hemoglobin_measurement	2	0.13333333333333333	['CHD1L', 'RP11-337C18.8']
AIDS	longevity	1	0.06666666666666667	['PLXNB1']
AIDS	mitochondrial_DNA_measurement	1	0.06666666666666667	['CHD1L']
AIDS	narcolepsy_with_cataplexy	1	0.06666666666666667	['CCR1']
AIDS	resistin_measurement	2	0.13333333333333333	['CHD1L', 'RP11-337C18.8']
AIDS	sex_hormone_globulin_binding_measurement	1	0.06666666666666667	['PRMT6']
AIDS	type_I_diabetes_mellitus	1	0.06666666666666667	['KDM4C']
Abdominal_Aortic_Aneurysm	low_density_lipoprotein_cholesterol_measurement	1	1.0	['DAB2IP']
Abdominal_Aortic_Aneurysm	periodontitis	1	1.0	['DAB2IP']
Abnormality_of_refraction	Astigmatism	1	0.043478260869565216	['TOX']
Abnormality_of_refraction	Myopia	1	0.043478260869565216	['TOX']
Abnormality_of_refraction	RR_interval	1	0.043478260869565216	['TOX']
