Gene	SNPs	Traits	Tissues	Interactions	Mapped
RP5-1068H6.1	rs6084875	rheumatoid_arthritis	Testis	cis	False
DUOXA1	rs2433610	serum_metabolite_measurement	Heart_Atrial_Appendage, Heart_Left_Ventricle	cis	False
UBE2Q2	rs1394125, rs4886755	chronic_kidney_disease__serum_creatinine_measurement, obese_body_mass_index_status__urate_measurement, urate_measurement	Nerve_Tibial	cis	True
RNF10	rs1169313, rs614226	liver_enzyme_measurement__serum_gamma-glutamyl_transferase_measurement, type_1_diabetes_nephropathy	Brain_Anterior_cingulate_cortex_BA24, Muscle_Skeletal	cis	True
REM1	rs6087771	putamen_volume	Cells_Transformed_fibroblasts	cis	False
C16orf13	rs763014, rs2017567	body_height, lumbar_disc_degeneration	Thyroid, Artery_Aorta, Whole_Blood, Breast_Mammary_Tissue, Ovary, Adrenal_Gland, Heart_Atrial_Appendage, Artery_Tibial, Nerve_Tibial, Prostate, Pancreas, Adipose_Subcutaneous, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Artery_Coronary, Adipose_Visceral_Omentum, Lung, Esophagus_Gastroesophageal_Junction	cis	False
FGFR1OP2	rs1402279	smoking_behavior	Thyroid	trans	False
MZT2A	rs6722456	phospholipid_measurement	Nerve_Tibial	trans	False
PMM1	rs8135665, rs727563	age-related_macular_degeneration, Crohn's_disease, inflammatory_bowel_disease	Pituitary, Whole_Blood, Adipose_Subcutaneous, Esophagus_Muscularis, Muscle_Skeletal, Cells_Transformed_fibroblasts, Cells_EBV-transformed_lymphocytes, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg	both	False
ASS1	rs15676	blood_metabolite_measurement	Brain_Putamen_basal_ganglia	trans	False
RP11-181G12.2	rs425277	body_height	Whole_Blood	cis	False
LL22NC03-86G7.1	rs412050	attention_deficit_hyperactivity_disorder	Thyroid, Testis, Skin_Not_Sun_Exposed_Suprapubic, Breast_Mammary_Tissue, Pituitary, Heart_Atrial_Appendage, Artery_Tibial, Colon_Transverse, Brain_Cerebellum, Esophagus_Muscularis, Nerve_Tibial, Pancreas, Adipose_Subcutaneous, Muscle_Skeletal, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
NID2	rs2076346, rs730532	psoriasis, pulmonary_function_measurement	Nerve_Tibial, Thyroid	both	True
